,Condition,Drug,DrugClass,Filename,Plate,Well
0,Dmso0.0,Dmso,Inactive,Week9_39301/Inactive/Dmso/FL_Week9_39301_E11_0.png,Week9_39301,E11
1,Pd1506060.15,Pd150606,Inactive,Week9_39301/Inactive/Pd150606/FL_Week9_39301_G08_0.png,Week9_39301,G08
2,Mitoxantrone0.1,Mitoxantrone,DNA,Week9_39301/DNA/Mitoxantrone/FL_Week9_39301_F07_0.png,Week9_39301,F07
3,Pd1506065.0,Pd150606,Inactive,Week9_39301/Inactive/Pd150606/FL_Week9_39301_G05_0.png,Week9_39301,G05
4,Mitoxantrone0.03,Mitoxantrone,DNA,Week9_39301/DNA/Mitoxantrone/FL_Week9_39301_F08_0.png,Week9_39301,F08
5,Mitoxantrone1.0,Mitoxantrone,DNA,Week9_39301/DNA/Mitoxantrone/FL_Week9_39301_F05_0.png,Week9_39301,F05
6,Floxuridine3.0,Floxuridine,DNA,Week9_39301/DNA/Floxuridine/FL_Week9_39301_B06_0.png,Week9_39301,B06
7,Simvastatin2.0,Simvastatin,Inactive,Week9_39301/Inactive/Simvastatin/FL_Week9_39301_D05_0.png,Week9_39301,D05
8,Pd15060650.0,Pd150606,Inactive,Week9_39301/Inactive/Pd150606/FL_Week9_39301_G03_0.png,Week9_39301,G03
9,Carboplatin0.2,Carboplatin,Inactive,Week9_39301/Inactive/Carboplatin/FL_Week9_39301_E07_0.png,Week9_39301,E07
10,Deoxynojirimycin10.0,Deoxynojirimycin,Inactive,Week9_39301/Inactive/Deoxynojirimycin/FL_Week9_39301_C07_0.png,Week9_39301,C07
11,Deoxynojirimycin100.0,Deoxynojirimycin,Inactive,Week9_39301/Inactive/Deoxynojirimycin/FL_Week9_39301_C05_0.png,Week9_39301,C05
12,Simvastatin0.2,Simvastatin,Inactive,Week9_39301/Inactive/Simvastatin/FL_Week9_39301_D07_0.png,Week9_39301,D07
13,Carboplatin6.0,Carboplatin,Inactive,Week9_39301/Inactive/Carboplatin/FL_Week9_39301_E04_0.png,Week9_39301,E04
14,Carboplatin0.006,Carboplatin,Inactive,Week9_39301/Inactive/Carboplatin/FL_Week9_39301_E10_0.png,Week9_39301,E10
15,Floxuridine1.0,Floxuridine,DNA,Week9_39301/DNA/Floxuridine/FL_Week9_39301_B07_0.png,Week9_39301,B07
16,Simvastatin6.0,Simvastatin,Cholesterol,Week9_39301/Cholesterol/Simvastatin/FL_Week9_39301_D04_0.png,Week9_39301,D04
17,Floxuridine30.0,Floxuridine,DNA,Week9_39301/DNA/Floxuridine/FL_Week9_39301_B04_0.png,Week9_39301,B04
18,Mitoxantrone0.01,Mitoxantrone,DNA,Week9_39301/DNA/Mitoxantrone/FL_Week9_39301_F09_0.png,Week9_39301,F09
19,Dmso0.0,Dmso,Inactive,Week9_39301/Inactive/Dmso/FL_Week9_39301_G11_0.png,Week9_39301,G11
20,Simvastatin0.06,Simvastatin,Inactive,Week9_39301/Inactive/Simvastatin/FL_Week9_39301_D08_0.png,Week9_39301,D08
21,Carboplatin20.0,Carboplatin,Inactive,Week9_39301/Inactive/Carboplatin/FL_Week9_39301_E03_0.png,Week9_39301,E03
22,Floxuridine10.0,Floxuridine,DNA,Week9_39301/DNA/Floxuridine/FL_Week9_39301_B05_0.png,Week9_39301,B05
23,Deoxynojirimycin3.0,Deoxynojirimycin,Inactive,Week9_39301/Inactive/Deoxynojirimycin/FL_Week9_39301_C08_0.png,Week9_39301,C08
24,Pd1506060.05,Pd150606,Inactive,Week9_39301/Inactive/Pd150606/FL_Week9_39301_G09_0.png,Week9_39301,G09
25,Taxol0.3,Taxol,MT,Week9_39301/MT/Taxol/FL_Week9_39301_B11_0.png,Week9_39301,B11
26,Deoxynojirimycin0.3,Deoxynojirimycin,Inactive,Week9_39301/Inactive/Deoxynojirimycin/FL_Week9_39301_C10_0.png,Week9_39301,C10
27,Pd1506060.5,Pd150606,Inactive,Week9_39301/Inactive/Pd150606/FL_Week9_39301_G07_0.png,Week9_39301,G07
28,Dmso0.0,Dmso,Inactive,Week9_39301/Inactive/Dmso/FL_Week9_39301_B02_0.png,Week9_39301,B02
29,Carboplatin0.6,Carboplatin,Inactive,Week9_39301/Inactive/Carboplatin/FL_Week9_39301_E06_0.png,Week9_39301,E06
30,Mitoxantrone0.3,Mitoxantrone,DNA,Week9_39301/DNA/Mitoxantrone/FL_Week9_39301_F06_0.png,Week9_39301,F06
31,Mitoxantrone0.003,Mitoxantrone,DNA,Week9_39301/DNA/Mitoxantrone/FL_Week9_39301_F10_0.png,Week9_39301,F10
32,Floxuridine0.03,Floxuridine,DNA,Week9_39301/DNA/Floxuridine/FL_Week9_39301_B10_0.png,Week9_39301,B10
33,Deoxynojirimycin1.0,Deoxynojirimycin,Inactive,Week9_39301/Inactive/Deoxynojirimycin/FL_Week9_39301_C09_0.png,Week9_39301,C09
34,Taxol0.3,Taxol,MT,Week9_39301/MT/Taxol/FL_Week9_39301_G02_0.png,Week9_39301,G02
35,Pd1506060.015,Pd150606,Inactive,Week9_39301/Inactive/Pd150606/FL_Week9_39301_G10_0.png,Week9_39301,G10
36,Carboplatin2.0,Carboplatin,Inactive,Week9_39301/Inactive/Carboplatin/FL_Week9_39301_E05_0.png,Week9_39301,E05
37,Carboplatin0.02,Carboplatin,Inactive,Week9_39301/Inactive/Carboplatin/FL_Week9_39301_E09_0.png,Week9_39301,E09
38,Taxol0.3,Taxol,MT,Week9_39301/MT/Taxol/FL_Week9_39301_C11_0.png,Week9_39301,C11
39,Dmso0.0,Dmso,Inactive,Week9_39301/Inactive/Dmso/FL_Week9_39301_D02_0.png,Week9_39301,D02
40,Dmso0.0,Dmso,Inactive,Week9_39301/Inactive/Dmso/FL_Week9_39301_C02_0.png,Week9_39301,C02
41,Dmso0.0,Dmso,Inactive,Week1_22361/Inactive/Dmso/FL_Week1_22361_E11_0.png,Week1_22361,E11
42,Monastrol0.3,Monastrol,Inactive,Week1_22361/Inactive/Monastrol/FL_Week1_22361_F07_0.png,Week1_22361,F07
43,Azi3.0,Azi,Inactive,Week1_22361/Inactive/Azi/FL_Week1_22361_G05_0.png,Week1_22361,G05
44,Monastrol0.1,Monastrol,Inactive,Week1_22361/Inactive/Monastrol/FL_Week1_22361_F08_0.png,Week1_22361,F08
45,Colchicine0.01,Colchicine,Inactive,Week1_22361/Inactive/Colchicine/FL_Week1_22361_E08_0.png,Week1_22361,E08
46,Monastrol3.0,Monastrol,Inactive,Week1_22361/Inactive/Monastrol/FL_Week1_22361_F05_0.png,Week1_22361,F05
47,Taxol0.3,Taxol,MT,Week1_22361/MT/Taxol/FL_Week1_22361_D11_0.png,Week1_22361,D11
48,Latrunculinb1.0,Latrunculinb,Inactive,Week1_22361/Inactive/Latrunculinb/FL_Week1_22361_B06_0.png,Week1_22361,B06
49,Epothiloneb0.3,Epothiloneb,MT,Week1_22361/MT/Epothiloneb/FL_Week1_22361_D05_0.png,Week1_22361,D05
50,Azi30.0,Azi,Unknown,Week1_22361/Unknown/Azi/FL_Week1_22361_G03_0.png,Week1_22361,G03
51,Colchicine0.03,Colchicine,Inactive,Week1_22361/Inactive/Colchicine/FL_Week1_22361_E07_0.png,Week1_22361,E07
52,Doxorubicin0.1,Doxorubicin,Inactive,Week1_22361/Inactive/Doxorubicin/FL_Week1_22361_C07_0.png,Week1_22361,C07
53,Doxorubicin1.0,Doxorubicin,DNA,Week1_22361/DNA/Doxorubicin/FL_Week1_22361_C05_0.png,Week1_22361,C05
54,Epothiloneb0.03,Epothiloneb,Inactive,Week1_22361/Inactive/Epothiloneb/FL_Week1_22361_D07_0.png,Week1_22361,D07
55,Latrunculinb0.1,Latrunculinb,Inactive,Week1_22361/Inactive/Latrunculinb/FL_Week1_22361_B08_0.png,Week1_22361,B08
56,Colchicine1.0,Colchicine,Inactive,Week1_22361/Inactive/Colchicine/FL_Week1_22361_E04_0.png,Week1_22361,E04
57,Azi1.0,Azi,Inactive,Week1_22361/Inactive/Azi/FL_Week1_22361_G06_0.png,Week1_22361,G06
58,Colchicine0.001,Colchicine,Inactive,Week1_22361/Inactive/Colchicine/FL_Week1_22361_E10_0.png,Week1_22361,E10
59,Latrunculinb0.3,Latrunculinb,Inactive,Week1_22361/Inactive/Latrunculinb/FL_Week1_22361_B07_0.png,Week1_22361,B07
60,Doxorubicin10.0,Doxorubicin,DNA,Week1_22361/DNA/Doxorubicin/FL_Week1_22361_C03_0.png,Week1_22361,C03
61,Epothiloneb3.0,Epothiloneb,MT,Week1_22361/MT/Epothiloneb/FL_Week1_22361_D03_0.png,Week1_22361,D03
